id,ticket_number,ticket_year,ticket_sequence,direction,created_at,job_id,job_code_snapshot,job_name_snapshot,customer_snapshot,truck_id,truck_number_snapshot,material_id,material_name_snapshot,quantity,unit,notes,pdf_path,pdf_blob,tax_exempt,cost,active,modified_to_id
3895,DT-2026-001223,2026,1223,IN,2026-02-26T12:02:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,159.0,PRATT809,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
3896,DT-2026-001224,2026,1224,IN,2026-02-26T12:02:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,244.0,RAR835,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3897,DT-2026-001225,2026,1225,IN,2026-02-26T12:07:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,237.0,MAK21,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3898,DT-2026-001226,2026,1226,IN,2026-02-26T12:15:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,239.0,GACE26,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3899,DT-2026-001227,2026,1227,IN,2026-02-26T12:57:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,99.0,MAL07,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3900,DT-2026-001228,2026,1228,IN,2026-02-26T13:07:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,42.0,DEL03,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3901,DT-2026-001229,2026,1229,IN,2026-02-26T13:17:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,244.0,RAR835,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3902,DT-2026-001230,2026,1230,IN,2026-02-26T13:31:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,237.0,MAK21,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3903,DT-2026-001231,2026,1231,IN,2026-02-26T13:31:00,3951.0,7383,CHIA Fence '25-'27 (7383),Petty Group LLC,126.0,MEHYD,23.0,Slop,1.0,Load,,,,N,500.0,True,
3904,DT-2026-001232,2026,1232,IN,2026-02-26T13:33:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,239.0,GACE26,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3905,DT-2026-001233,2026,1233,IN,2026-02-26T13:50:00,3614.0,2743,West 26th Apartments (2743),Petty Group LLC,243.0,DLP22,20.0,bulk sand (pre-screened) IN,1.0,Load,,,,Y,66.0,True,
3906,DT-2026-001234,2026,1234,OUT,2026-02-26T13:50:00,3614.0,2743,West 26th Apartments (2743),Petty Group LLC,243.0,DLP22,1.0,#1&2 Recycled Concrete,1.0,Load,,,,Y,308.0,True,
3907,DT-2026-001235,2026,1235,IN,2026-02-26T13:50:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,88.0,JDH05,11.0,Broken Concrete,1.0,Load,,,,N,165.0,True,
3908,DT-2026-001236,2026,1236,IN,2026-02-26T14:09:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,99.0,MAL07,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3909,DT-2026-001237,2026,1237,IN,2026-02-26T14:21:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,244.0,RAR835,11.0,Broken Concrete,1.0,Load,,,,N,165.0,True,
3910,DT-2026-001238,2026,1238,IN,2026-02-26T14:26:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,237.0,MAK21,11.0,Broken Concrete,1.0,Load,,,,N,165.0,True,
3911,DT-2026-001239,2026,1239,IN,2026-02-26T14:36:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,239.0,GACE26,11.0,Broken Concrete,1.0,Load,,,,N,165.0,True,
3912,DT-2026-001240,2026,1240,IN,2026-02-26T15:12:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,42.0,DEL03,11.0,Broken Concrete,1.0,Load,,,,N,165.0,True,
3913,DT-2026-001241,2026,1241,IN,2026-02-26T15:25:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,99.0,MAL07,11.0,Broken Concrete,1.0,Load,,,,N,165.0,True,
3914,DT-2026-001242,2026,1242,IN,2026-02-26T15:35:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,244.0,RAR835,11.0,Broken Concrete,1.0,Load,,,,N,165.0,True,
3915,DT-2026-001243,2026,1243,IN,2026-02-26T15:46:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,237.0,MAK21,11.0,Broken Concrete,1.0,Load,,,,N,165.0,True,
3916,DT-2026-001244,2026,1244,IN,2026-02-26T15:46:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,88.0,JDH05,11.0,Broken Concrete,1.0,Load,,,,N,165.0,True,
3917,DT-2026-001245,2026,1245,IN,2026-02-26T15:48:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,239.0,GACE26,11.0,Broken Concrete,1.0,Load,,,,N,165.0,True,
3918,DT-2026-001246,2026,1246,IN,2026-02-27T08:49:00,,Job #3853,Job #3853,"Middleton Mechanical, LLC",242.0,OHIO1,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,75.0,True,
